ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
285,Plegadis falcinellus,Glossy ibis|Glossy ibis|Glossy ibis|Glossy ibis,Plegadis falcinellus|Plegadis|Threskiornithinae|Threskiornithidae|Threskiornithes|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
286,Falco novaeseelandiae southern,Southern falcon,Falco novaeseelandiae southern|Falconidae|Falcones|Falconiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
287,Sula dactylatra,Masked booby|Masked (Blue-faced) Booby,Sula dactylatra|Sula|Sulidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Kermadec Islands|Political Region|Terrestrial
288,Calidris ruficollis,Red-necked Stint|Red-necked Stint|Red-necked Stint|Red-necked Stint,Calidris ruficollis|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
289,Calidris,Semipalmated Sandpiper,Calidris|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present||New Zealand|Political Region|
290,Tachybaptus novaehollandiae,Australasian Little Grebe|Australian little grebe,Tachybaptus novaehollandiae|Tachybaptus|Podicipedidae|Podicipediformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|North Island|Political Region|Terrestrial
291,Tadorna,,Tadorna|Tadornini|Tadorninae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
292,Sterna anaethetus,Bridled (Brown-winged) Tern|Bridled tern|Bridled (Brown-winged) Tern,Sterna anaethetus|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
293,Leucocarbo atriceps,Imperial Shag|King Shag|Blue-eyed Shag|Imperial Shag|King Shag|Blue-eyed Shag,Leucocarbo atriceps|Leucocarbo|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
294,Halcyon sancta vagans,New Zealand Kingfisher|Kotare|New Zealand Kingfisher|Kotare,Halcyon sancta vagans|Halcyon sancta|Halcyon|Daceloninae|Alcedinidae|Alcedines|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
295,Gallinula tenebrosa,Dusky Moorhen|Dusky Moorhen|Hodgens' Waterhen|Dusky Moorhen|Dusky Moorhen,Gallinula tenebrosa|Gallinula|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
296,Passeriformes,Passerine Birds,Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|subclass|class|superclass|subphylum|phylum|kingdom|none,
297,Petroica (Petroica) macrocephala macrocephala,Ngiru-ngiru|South Island Tomtit,Petroica (Petroica) macrocephala macrocephala|Petroica macrocephala|Petroica|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
298,Pagodroma,,Pagodroma|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
299,Hirundo neoxena,Welcome Swallow|Welcome Swallow,Hirundo neoxena|Hirundo|Hirundinidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
300,Leucocarbo,,Leucocarbo|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
301,Scythrops novaehollandiae,Channel-billed Cuckoo|Channel-billed Cuckoo|Channel-billed Cuckoo|Channel-billed Cuckoo,Scythrops novaehollandiae|Scythrops|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
302,Stictocarbo punctatus oliveri,Blue Shag,Stictocarbo punctatus oliveri|Stictocarbo punctatus|Stictocarbo|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
303,Halcyon sancta,Sacred kingfisher|Sacred kingfisher,Halcyon sancta|Halcyon|Daceloninae|Alcedinidae|Alcedines|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
304,Casuariifomes,,Casuariifomes|Ratitae|Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|subinfraclass|subclass|class|superclass|subphylum|phylum|kingdom|none,
305,Cacomantis flabelliformis,Fan-tailed Cuckoo|Fan-tailed Cuckoo|Fan-tailed Cuckoo,Cacomantis flabelliformis|Cacomantis|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
306,Cyanoramphus,,Cyanoramphus|Platycercinae|Psittacidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
307,Pycnonotus,,Pycnonotus|Pycnonotidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
308,Notiomystis cincta,Stitchbird|Hihi|Hihi|Stitchbird|Stitchbird,Notiomystis cincta|Notiomystis|Notiomystidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|North Island|Political Region|Terrestrial
309,Sternidae,,Sternidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
310,Megalurus punctatus punctatus,,Megalurus punctatus punctatus|Megalurus punctatus|Megalurus|Megaluridae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
311,Pelecanoidea,Pelicans and Allies|Pelicans and Allies,Pelecanoidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
312,Cyanoramphus novaezelandiae hochstetteri,Reischek's Parakeet|Reischek's Parakeet,Cyanoramphus novaezelandiae hochstetteri|Cyanoramphus novaezelandiae|Cyanoramphus|Platycercinae|Psittacidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
313,Bowdleria punctata punctata,Matata|u-tick|Karoti|South Island Fernbird|koroatito|South Island Fernbird|Matata,Bowdleria punctata punctata|Bowdleria punctata|Bowdleria|Sylviidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
314,Pachyptila salvini,Salvin's Prion|Salvin's Prion,Pachyptila salvini|Pachyptila|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|Terrestrial
315,Monarchidae,Monarch Flycatchers|Monarch Flycatchers|Monarch Flycatchers,Monarchidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
316,Oceanites maorianus,New Zealand storm Petrel,Oceanites maorianus|Oceanites|Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|North Island|Political Region|Terrestrial
317,Oceanitidae,Storm Petrels,Oceanitidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
318,Threskiornis,,Threskiornis|Threskiornithinae|Threskiornithidae|Threskiornithes|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
319,Anas platyrhynchos domesticus,,Anas platyrhynchos domesticus|Anas platyrhynchos|Anas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
320,Dinornithidae,Moas,Dinornithidae|Dinornithiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
321,Pycnonotidae,Bulbuls|Bulbuls,Pycnonotidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
322,Procellariidae,"Shearwaters, Diving Petrels, Fulmars, Prions and Gadfly Petrels|Fulmars, Petrels, Shearwaters, Diving Petrels|Fulmars, Petrels and Shearwaters|Fulmars, Petrels, Shearwaters, Diving Petrels|Fulmars, Petrels and Shearwaters",Procellariidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
323,Artamus superciliosus,White-browed woodswallow|White-browed woodswallow|White-browed woodswallow|White-browed woodswallow,Artamus superciliosus|Artamus|Artamidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
324,Aptornithidae,The Aptornis|Adzebills,Aptornithidae|Gruiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
325,Stercorarius longicaudus,Long-tailed Skua|Long-tailed Skua|Long-tailed Skua|Long-tailed Skua,Stercorarius longicaudus|Stercorarius|Stercorariidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
326,Fregata minor,Greater Frigatebird|Greater Frigatebird,Fregata minor|Fregata|Fregatidae|Fregatae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
327,Fringillidae,Finches|Finches|Finches,Fringillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
328,Petroica marrineri,Auckland Island tomtit,Petroica marrineri|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|Subantarctic Islands|Political Region|Terrestrial
329,Pterodroma neglecta Winter,"Kermadec Petrel ""Winter""",Pterodroma neglecta Winter|Procellariidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|order|class|superclass|subphylum|phylum|kingdom|none,
330,Egretta intermedia,Plumed Egret|Intermediate Egret|Plumed Egret|Intermediate Egret,Egretta intermedia|Egretta|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
331,Pavo,,Pavo|Phasianinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
332,Coenocorypha iredalei,Stewart Island Snipe|South Island snipe|South Island snipe,Coenocorypha iredalei|Coenocorypha|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Extinct||New Zealand|Political Region|
333,Larus pacificus,Pacific gull|Pacific gull,Larus pacificus|Larus|Larinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present||New Zealand|Political Region|
334,Eudyptula,,Eudyptula|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|class|superclass|subphylum|phylum|kingdom|none,
335,Aptornis defossor,South Island adzebill|South Island adzebill|South Island Aptornis,Aptornis defossor|Aptornis|Aptornithidae|Gruiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
336,Accipiter fasciatus,,Accipiter fasciatus|Accipiter|Accipitrinae|Accipitridae|Accipititrifomes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Extinct||New Zealand|Political Region|
337,Recurvirostra novaehollandiae,Australian red-necked avocet|Red-necked avocet|Red-necked avocet|Australian red-necked avocet|Australian red-necked avocet,Recurvirostra novaehollandiae|Recurvirostra|Recurvirostrinae|Recurvirostridae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
338,Coenocorypha aucklandica huegeli,Snares Island snipe|Snares Island snipe,Coenocorypha aucklandica huegeli|Coenocorypha aucklandica|Coenocorypha|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
339,Puffinus carneipes,Flesh-footed shear-water,Puffinus carneipes|Ardenna|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
340,Pealeornis maoriana,,Pealeornis maoriana|Pealeornis|Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present|Wild|New Zealand|Political Region|
341,Athene,,Athene|Buboninae|Strigidae|Strigiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
342,Phalaropus,,Phalaropus|Phalaropodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
343,Onychoprion fuscatus serratus,,Onychoprion fuscatus serratus|Onychoprion fuscatus|Onychoprion|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|New Zealand|Political Region|
344,Pelagodroma marina albiclunis,Kermadec white-faced Storm Petrel|Kermadec Storm Petrel|Kermadec Storm Petrel,Pelagodroma marina albiclunis|Pelagodroma marina|Pelagodroma|Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
345,Crex,,Crex|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
346,Fregetta maoriana,New Zealand storm Petrel|New Zealand storm Petrel,Fregetta maoriana|Fregetta|Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
347,Leucocarbo ranfurlyi,Bounty Island Shag|Bounty Island Cormorant|Bounty Island Shag|Bounty Island Shag,Leucocarbo ranfurlyi|Leucocarbo|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
348,Petroica,,Petroica|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
349,Sylviidae,Warblers|Old World Warblers,Sylviidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
350,Pterodroma species 1,Un-named Chatham Petrel,Pterodroma species 1|Pterodroma|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Extinct||Chatham Islands|Political Region|Terrestrial
351,Anhingidae,Darters|Darters,Anhingidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
352,Malacorhynchini,,Malacorhynchini|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,tribe|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
353,Dinornis,,Dinornis|Dinornithidae|Dinornithiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
354,Aptenodytes patagonicus,King Penguin|King Penguin,Aptenodytes patagonicus|Aptenodytes|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
355,Phoebetria fusca,Sooty albatross|Sooty albatross,Phoebetria fusca|Phoebetria|Diomedeidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
356,Tadorna Chathams,Chatham Island shelduck,Tadorna Chathams|Tadorna|Tadorninae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Extinct||Chatham Islands|Political Region|Terrestrial
357,Cabalus modestus,Chatham Island rail|Chatham rail,Cabalus modestus|Cabalus|Rallidae|Gruiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Extinct||Chatham Islands|Political Region|Terrestrial
358,Oceanites oceanicus,Wilson's Storm Petrel|Wilson's Storm Petrel,Oceanites oceanicus|Oceanites|Oceanites|Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|Terrestrial
359,Platydyptes,,Platydyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
360,Numenius tahitiensis,Bristle-thighed Curlew|Bristle-thighed Curlew|Bristle-thighed Curlew|Bristle-thighed Curlew,Numenius tahitiensis|Numenius|Tringinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
361,Serinus canaria domestica,Domestic Canary|Lizard Canary|Domestic Canary|Lizard Canary,Serinus canaria domestica|Serinus canaria|Serinus|Fringillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,forma|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present|Cultivation/Captivity|New Zealand|Political Region|
362,Emberiza,,Emberiza|Emberizinae|Emberizidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
363,Halobaena,,Halobaena|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
364,Pterodroma leucoptera,New Caledonian Petrel|Gould's Petrel,Pterodroma leucoptera|Cookilaria|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
365,Sterna striata striata,White-fronted Tern|Sea Swallow|Black-billed Tern|Swallow Tail|Tara|Kahawai Bird,Sterna striata striata|Sternidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
366,Falco cenchroides cenchroides,Nankeen kestrel|Nankeen kestrel|Nankeen kestrel,Falco cenchroides cenchroides|Falco cenchroides|Falco|Falconidae|Falconiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
367,Coturnix,,Coturnix|Phasianinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
368,Psittaciformes,Cockatoos and Parrots,Psittaciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
369,Cyanoramphus novaezelandiae chathamensis,Chatham Island Red-crowned Parakeet|Chatham Island Red-crowned Parakeet|Chatham Island Red-crowned Parakeet,Cyanoramphus novaezelandiae chathamensis|Cyanoramphus novaezelandiae|Cyanoramphus|Platycercinae|Psittacidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
370,Anas superciliosa superciliosa,Grey duck|Parera|Parera|Grey duck,Anas superciliosa superciliosa|Anas superciliosa|Anas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
371,Pagodroma nivea minor,Lesser Snow Petrel|Lesser Snow Petrel,Pagodroma nivea minor|Pagodroma nivea|Pagodroma|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
