ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
21,Gallinula chloropus,Common Moorhen|Common Moorhen,Gallinula chloropus|Gallinula|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
22,Pterodroma solandri,Providence Petrel|Providence Petrel|Providence Petrel,Pterodroma solandri|Pterodroma|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
23,Limnodromus,,Limnodromus|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
24,Anas aucklandica aucklandica,Flightless Duck|Auckland Island Teal|Auckland Island Teal|Flightless Duck,Anas aucklandica aucklandica|Anas aucklandica|Anas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
25,Porzana tabuensis plumbea,Spotless Crake|Puweto|Spotless crake|Puweto,Porzana tabuensis plumbea|Porzana tabuensis|Porzana|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
26,Hirundinidae,Swallows and Martins|Swallows and Martins|Swallows and Martins|Swallows|Swallows|Swallows and Martins,Hirundinidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
27,Petroica macrocephala chathamensis,Chatham Island Tit|Chatham Island Tomtit|Chatham Island Tomtit,Petroica macrocephala chathamensis|Petroica macrocephala|Petroica|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
28,Pygoscelis papua,Gentoo Penguin|Gentoo Penguin,Pygoscelis papua|Pygoscelis|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
29,Procellariiformes,Tube-nosed Birds,Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
30,Branta canadensis,Canada Goose|Canada Goose|Canada Goose,Branta canadensis|Branta|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|North Island|Political Region|Terrestrial
31,Diomedea chionoptera,Snowy Albatross,Diomedea chionoptera|Diomedea|Diomedeidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
32,Palaeeudyptes marplesi,,Palaeeudyptes marplesi|Palaeeudyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
